35.1,644,1155,136,607,787,0.591
31.76,618,1069,144,594,768,0.647
29.69,639,1138,108,593,761,0.56
24.67,554,1041,87,505,717,0.425
21.59,583,1072,73,533,717,0.496
14.99,501,1054,59,458,672,0.413
12.58,426,976,51,395,652,0.444
11.64,472,1009,53,430,658,0.425
32.47,701,1139,138,658,789,0.567
30.33,663,1213,68,619,782,0.563
29.36,658,1120,146,620,782,0.651
26.53,633,1128,124,585,752,0.54
18.03,547,1096,110,511,725,0.46
17.73,508,1015,90,459,711,0.329
17.37,572,1094,108,539,715,0.433
16.47,518,1061,87,464,709,0.456
38.88,613,1169,133,592,752,0.599
30,513,1030,95,465,698,0.655
25.55,496,1069,74,463,689,0.536
23.87,473,1066,59,442,688,0.544
21.34,454,982,81,427,664,0.5
19.11,452,1013,29,422,647,0.496
10.57,342,913,35,314,595,0.31
10.15,366,903,46,342,603,0.361
38.57,655,1204,88,612,767,0.643
27.19,541,1081,106,510,726,0.484
26.55,563,1153,93,534,715,0.524
20.55,489,1072,58,457,680,0.456
18.49,485,988,91,453,681,0.552
17.92,494,1027,87,455,675,0.393
16.46,482,1002,68,444,669,0.524
15.99,477,1013,75,459,662,0.425
29.74,629,1154,106,585,725,0.607
27.29,590,1071,65,552,696,0.56
26.04,527,1064,79,472,706,0.603
23.08,558,1047,94,516,699,0.5
22.98,510,1037,96,477,703,0.437
20.57,476,1054,83,438,683,0.369
16.45,431,989,75,397,654,0.524
16.06,467,965,82,436,650,0.401
29.94,566,1161,72,543,733,0.476
26.12,515,1022,92,510,695,0.587
23.97,545,1085,58,489,709,0.563
23.56,510,1029,88,478,697,0.448
22.28,506,1036,98,499,694,0.417
21.99,522,1000,90,499,699,0.56
20.09,493,1001,106,462,689,0.552
14.21,446,1008,82,410,660,0.397
38.92,722,1194,165,669,819,0.552
27.63,616,1081,133,578,748,0.599
27.61,602,1090,110,565,766,0.571
27.28,590,1109,83,549,737,0.587
19.84,511,1070,84,481,685,0.472
18.23,481,1032,102,445,707,0.413
15.53,497,994,82,459,688,0.421
9.38,434,962,75,411,650,0.385
30.89,633,1123,142,587,778,0.643
28.2,620,1143,143,576,773,0.532
27.2,609,1131,100,567,740,0.504
22.82,536,1089,101,499,725,0.468
19.44,536,1070,86,500,709,0.41
19.4,520,1080,102,479,700,0.496
18.01,503,1042,123,472,708,0.455
16.74,489,1067,94,467,701,0.488
29.09,731,1268,197,687,838,0.554
29.08,765,1264,210,723,829,0.465
28.06,753,1309,145,709,824,0.591
26.99,748,1244,207,712,812,0.562
26.54,721,1305,141,693,793,0.598
26.26,744,1287,145,700,792,0.466
20.52,699,1210,143,652,777,0.535
7.43,523,1108,86,496,678,0.224
38.53,777,1245,208,736,849,0.695
32.18,694,1325,150,661,800,0.571
27.09,744,1223,177,708,795,0.539
27.07,680,1270,180,655,803,0.391
24.87,687,1239,122,647,770,0.515
16.87,603,1186,104,553,719,0.504
15.12,602,1167,105,566,716,0.338
12.64,588,1137,86,537,696,0.442
27.89,739,1262,162,695,807,0.609
27.54,718,1265,121,671,791,0.457
27.3,732,1266,130,688,780,0.508
25.55,659,1255,148,628,783,0.473
25.44,711,1192,169,667,791,0.558
24.45,683,1263,142,637,782,0.469
21.7,669,1247,85,630,754,0.464
13.97,596,1143,113,555,728,0.458
38.22,777,1321,191,731,831,0.636
28.11,643,1230,120,611,746,0.605
26.92,618,1207,158,587,772,0.469
26.6,658,1160,173,643,774,0.547
22.5,603,1148,170,570,748,0.461
21.04,587,1173,130,556,726,0.504
20.25,583,1173,100,541,717,0.52
8.23,463,1105,85,443,661,0.265
37.5,723,1280,175,673,829,0.611
37.22,769,1295,213,744,842,0.589
26.26,657,1211,129,626,765,0.609
25.84,644,1208,156,612,781,0.508
20.73,563,1251,90,541,736,0.435
20.36,577,1131,121,521,736,0.492
13.46,509,1088,106,485,697,0.458
11.19,491,1143,73,451,682,0.3
31.88,692,1233,134,653,783,0.586
28.86,643,1182,143,610,773,0.523
26.73,641,1215,132,600,757,0.584
25.97,655,1223,138,626,768,0.488
24.4,632,1213,140,605,764,0.417
21.46,606,1200,89,573,723,0.53
18.5,588,1150,102,554,716,0.457
15.36,533,1125,88,500,691,0.41
28.62,622,1163,159,594,775,0.512
26.13,614,1134,111,575,749,0.606
25.13,589,1139,122,559,757,0.583
24.55,563,1071,134,529,743,0.43
22.48,601,1098,105,554,717,0.432
21.79,596,1147,63,558,715,0.585
19.51,541,1102,99,507,717,0.391
16.2,500,1058,83,470,694,0.463
26.31,547,1104,92,518,734,0.56
24.41,511,1057,110,481,711,0.54
23.78,509,1059,99,488,704,0.48
23.65,538,1043,73,505,701,0.593
19.03,476,1067,62,431,681,0.52
18.97,455,1068,55,425,676,0.512
18.22,488,1034,88,463,684,0.407
16.3,457,1037,81,430,661,0.385
26.77,603,1118,112,568,744,0.603
26.33,578,1103,78,543,726,0.565
22.6,532,1160,78,508,713,0.483
22.4,533,1152,76,501,717,0.447
22.29,530,1154,96,507,729,0.448
21.23,534,1050,104,502,718,0.54
20.97,497,1062,86,469,706,0.508
17.21,499,1080,73,466,694,0.408
30.25,632,1222,89,591,765,0.659
29.7,624,1200,93,590,761,0.548
27.38,647,1198,68,598,732,0.556
23.64,592,1086,120,566,728,0.508
21.64,557,1078,92,520,720,0.516
17.87,499,1149,70,471,698,0.397
16.88,503,1095,48,465,689,0.452
14.06,468,1070,66,447,674,0.365
29.1,732,1303,166,693,822,0.602
26.27,685,1224,146,650,796,0.481
25.9,722,1286,120,669,781,0.534
24.27,683,1219,153,650,789,0.451
23.48,657,1241,164,629,774,0.346
23.41,706,1191,156,671,785,0.609
21.71,670,1251,129,627,773,0.406
20.62,637,1223,121,597,773,0.496
32.99,731,1276,149,706,805,0.549
32.54,773,1345,185,739,813,0.519
28.84,681,1207,118,630,774,0.594
24.72,688,1270,121,652,759,0.429
24.01,704,1217,120,648,768,0.632
19.55,611,1148,106,574,730,0.444
16.83,570,1165,87,539,714,0.391
11.27,543,1053,104,508,690,0.368
33.92,713,1324,111,666,781,0.563
29.09,627,1177,106,597,752,0.526
28,614,1221,92,578,742,0.466
25.18,625,1150,95,585,719,0.612
21.25,579,1203,94,539,716,0.45
20.88,584,1157,100,561,726,0.546
18.14,568,1112,93,536,700,0.45
13,512,1065,79,472,676,0.389
33.8,628,1205,89,585,742,0.611
24.08,564,1120,108,523,717,0.546
23.96,553,1112,54,518,690,0.488
23.82,549,1056,102,509,696,0.469
23.42,544,1184,59,512,687,0.442
22.28,509,1077,71,479,690,0.408
21.38,509,1179,73,479,690,0.512
20.59,524,1139,59,490,673,0.523
